,,Main ball1,Main ball2,Main ball3,Main ball4,Main ball5,Mega ball
2024,2024-12-10,12,14,26,48,52,21
,2024-12-06,16,21,33,39,45,24
,2024-12-03,52,60,61,66,67,23
,2024-11-29,3,29,34,37,38,17
,2024-11-26,5,22,24,39,42,3
,2024-11-22,13,20,26,32,65,2
,2024-11-19,5,35,50,51,59,8
,2024-11-15,5,17,35,55,69,19
,2024-11-12,18,31,33,64,68,17
,2024-11-08,25,28,42,64,69,19
,2024-11-05,2,24,25,52,58,9
,2024-11-01,11,22,42,46,51,4
,2024-10-29,16,22,26,36,56,1
,2024-10-25,23,26,35,41,43,7
,2024-10-22,8,43,48,58,60,4
,2024-10-18,4,9,26,39,58,23
,2024-10-15,22,34,44,54,62,3
,2024-10-11,3,10,29,52,57,20
,2024-10-08,3,19,20,22,66,9
,2024-10-04,21,39,42,43,45,3
,2024-10-01,27,35,47,50,66,25
,2024-09-27,29,46,53,69,70,23
,2024-09-24,1,6,10,23,27,18
,2024-09-20,20,21,40,49,55,11
,2024-09-17,14,31,48,57,64,9
,2024-09-13,21,55,56,57,66,1
,2024-09-10,1,2,16,24,66,6
,2024-09-06,6,23,41,59,63,25
,2024-09-03,12,41,43,52,55,9
,2024-08-30,10,17,20,24,54,8
,2024-08-27,16,18,21,54,65,5
,2024-08-23,28,30,44,66,69,2
,2024-08-20,5,20,26,49,51,24
,2024-08-16,22,38,48,51,61,5
,2024-08-13,34,55,59,65,70,12
,2024-08-09,12,32,38,40,57,21
,2024-08-06,23,29,36,61,70,22
,2024-08-02,6,7,24,44,54,13
,2024-07-30,19,23,30,33,50,25
,2024-07-26,2,14,33,58,65,3
,2024-07-23,3,9,14,26,51,21
,2024-07-19,10,17,23,50,67,3
,2024-07-16,5,35,42,58,66,22
,2024-07-12,15,35,48,53,68,8
,2024-07-09,21,26,54,60,64,3
,2024-07-05,6,15,32,54,67,4
,2024-07-02,4,8,19,31,45,11
,2024-06-28,28,31,33,42,66,24
,2024-06-25,3,16,27,47,62,8
,2024-06-21,3,18,27,40,44,19
,2024-06-18,21,22,50,55,67,20
,2024-06-14,1,25,26,31,65,2
,2024-06-11,1,5,7,22,24,8
,2024-06-07,3,5,12,22,66,7
,2024-06-04,19,37,40,63,69,17
,2024-05-31,4,11,23,33,49,23
,2024-05-28,12,18,48,57,62,4
,2024-05-24,46,54,56,67,70,16
,2024-05-21,2,5,8,28,69,14
,2024-05-17,8,17,40,60,70,3
,2024-05-14,13,19,43,62,64,6
,2024-05-10,13,22,26,32,65,18
,2024-05-07,26,28,36,63,66,15
,2024-05-03,6,13,15,53,56,11
,2024-04-30,10,18,27,37,61,5
,2024-04-26,15,23,53,57,61,9
,2024-04-23,11,17,33,39,43,14
,2024-04-19,19,30,34,46,58,3
,2024-04-16,21,26,36,44,59,2
,2024-04-12,1,12,14,18,66,16
,2024-04-09,34,43,51,52,69,25
,2024-04-05,20,30,54,63,65,14
,2024-04-02,10,50,56,60,66,19
,2024-03-29,11,30,33,38,60,16
,2024-03-26,7,11,22,29,38,4
,2024-03-22,3,8,31,35,44,16
,2024-03-19,24,46,49,62,66,7
,2024-03-15,13,25,50,51,66,6
,2024-03-12,2,16,31,57,64,24
,2024-03-08,19,20,22,47,58,1
,2024-03-05,2,49,50,61,70,14
,2024-03-01,15,33,37,55,61,24
,2024-02-27,6,18,26,27,49,4
,2024-02-23,4,6,40,41,60,11
,2024-02-20,5,45,55,58,68,7
,2024-02-16,19,23,39,42,67,18
,2024-02-13,1,3,19,25,58,20
,2024-02-09,17,22,29,46,69,1
,2024-02-06,2,10,31,44,57,10
